NomeEstacao;CodEstacao;Bacia;SubBacia;Operadora;Responsavel;Municipio-UF;Latitude;Longitude;Altitude;CodRio;NomeRio;Origem;StatusEstacao
CANTANHEDE;33680000;3;33;00082 - CPRM - Cia de Pesquisa de Recursos Minerais;00001 - ANA - Agência Nacional de Águas;CANTANHEDE-MA;-3,6278;-44,3792;15;33400000;RIO ITAPECURU;RHN;Ativo
ITAPECURU-MIRIM;33690100;3;33;00082 - CPRM - Cia de Pesquisa de Recursos Minerais;00082 - CPRM - Cia de Pesquisa de Recursos Minerais;ITAPECURU MIRIM-MA;-3,3922;-44,3619;15;33400000;RIO ITAPECURU;RHN;Ativo
MUNIM;33730000;3;33;00082 - CPRM - Cia de Pesquisa de Recursos Minerais;00001 - ANA - Agência Nacional de Águas;VARGEM GRANDE-MA;-3,5775;-43,7028;7;33490000;RIO MUNIM;RHN;Ativo
SÃO BENEDITO;33760000;3;33;00082 - CPRM - Cia de Pesquisa de Recursos Minerais;00001 - ANA - Agência Nacional de Águas;SÃO BENEDITO DO RIO PRETO-MA;-3,3353;-43,5264;30;33494000;RIO PRETO;RHN;Ativo
IGUARÁ;33770000;3;33;00082 - CPRM - Cia de Pesquisa de Recursos Minerais;00001 - ANA - Agência Nacional de Águas;VARGEM GRANDE-MA;-3,5525;-43,8722;132;33495000;RIO IGUARA;RHN;Ativo
FAZENDA UNIÃO;34010000;3;34;00082 - CPRM - Cia de Pesquisa de Recursos Minerais;00001 - ANA - Agência Nacional de Águas;ALTO PARNAÍBA-MA;-9,29;-45,9019;283;34001000;RIO PARNAÍBA;RHN;Ativo
ALTO PARNAÍBA;34020000;3;34;00082 - CPRM - Cia de Pesquisa de Recursos Minerais;00001 - ANA - Agência Nacional de Águas;ALTO PARNAÍBA-MA;-9,1131;-45,9261;266;34001000;RIO PARNAÍBA;RHN;Ativo
UHE BOA ESPERANÇA (CASTELO BRANCO) MONTANTE 2;34020980;3;34;00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF;00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF;ALTO PARNAÍBA-MA;-9,1131;-45,9264;220;34001000;RIO PARNAÍBA;Setor Elétrico;Ativo
FAZENDA PARACATI II;34040500;3;34;00082 - CPRM - Cia de Pesquisa de Recursos Minerais;00001 - ANA - Agência Nacional de Águas;TASSO FRAGOSO-MA;-8,2708;-45,6683;0;34001000;RIO PARNAÍBA;RHN;Ativo
UHE BOA ESPERANÇA (CASTELO BRANCO) MONTANTE 1;34059900;3;34;00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF;00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF;RIBEIRO GONÇALVES-PI;-7,5558;-45,2436;0;34001000;RIO PARNAÍBA;Setor Elétrico;Ativo
RIBEIRO GONÇALVES;34060000;3;34;00082 - CPRM - Cia de Pesquisa de Recursos Minerais;00001 - ANA - Agência Nacional de Águas;RIBEIRO GONÇALVES-PI;-7,5667;-45,2544;197;34001000;RIO PARNAÍBA;RHN;Ativo
SÍTIO DO VELHO;34070000;3;34;00082 - CPRM - Cia de Pesquisa de Recursos Minerais;00001 - ANA - Agência Nacional de Águas;URUÇUÍ-PI;-7,3808;-44,8267;210;34001000;RIO PARNAÍBA;RHN;Ativo
FORMOSA DO URUÇUÍ PRETO;34080000;3;34;00082 - CPRM - Cia de Pesquisa de Recursos Minerais;00001 - ANA - Agência Nacional de Águas;BAIXA GRANDE DO RIBEIRO-PI;-8,6725;-44,8856;271;34250000;RIO URUÇUÍ PRETO;RHN;Ativo
UHE BOA ESPERANÇA (CASTELO BRANCO)RIO URUÇUÍ PRETO;34089980;3;34;00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF;00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF;URUÇUÍ-PI;-7,3903;-44,6136;0;34250000;RIO URUÇUÍ PRETO;Setor Elétrico;Ativo
FAZENDA BANDEIRA;34090000;3;34;00082 - CPRM - Cia de Pesquisa de Recursos Minerais;00001 - ANA - Agência Nacional de Águas;URUÇUÍ-PI;-7,3908;-44,6142;160;34250000;RIO URUÇUÍ PRETO;RHN;Ativo
UHE BOA ESPERANÇA (CASTELO BRANCO) BALSAS 2;34129980;3;34;00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF;00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF;BALSAS-MA;-7,5342;-46,0344;224;34251000;RIO DAS BALSAS;Setor Elétrico;Ativo
BALSAS;34130000;3;34;00082 - CPRM - Cia de Pesquisa de Recursos Minerais;00001 - ANA - Agência Nacional de Águas;BALSAS-MA;-7,5344;-46,0358;263;34251000;RIO DAS BALSAS;RHN;Ativo
UHE BOA ESPERANÇA (CASTELO BRANCO) BALSAS 1;34160900;3;34;00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF;00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF;SÃO FÉLIX DE BALSAS-MA;-7,0817;-44,8117;0;34251000;RIO DAS BALSAS;Setor Elétrico;Ativo
SÃO FÉLIX DE BALSAS;34170000;3;34;00082 - CPRM - Cia de Pesquisa de Recursos Minerais;00001 - ANA - Agência Nacional de Águas;SÃO FÉLIX DE BALSAS-MA;-7,0819;-44,8139;177;34251000;RIO DAS BALSAS;RHN;Ativo
